Name,TCG,Amazon,Spread,% Spread
Benthic Biomancer,0.59,1.1,0.51,0.536363636
Masticore,1.36,2.54,1.18,0.535433071
Greenbelt Rampager ,0.38,0.71,0.33,0.535211268
Fierce Empath,0.38,0.71,0.33,0.535211268
Quarantine Field ,0.38,0.71,0.33,0.535211268
Pithing Needle ,3.99,7.46,3.47,0.534852547
Dimir Aqueduct ,1.29,2.42,1.13,0.533057851
Dreadbore ,2.76,5.18,2.42,0.532818533
Relentless Dead,9.34,17.57,8.23,0.531587934
in Garruk's Wake,0.79,1.49,0.7,0.530201342
Sphinx-Bone Wand,0.47,0.89,0.42,0.528089888
Wheel of Fate ,3.25,6.16,2.91,0.527597403
Bomat Courier ,0.67,1.27,0.6,0.527559055
Raving Dead ,1.44,2.73,1.29,0.527472527
See The Unwritten ,0.69,1.31,0.62,0.526717557
Archon of Valor's Reach,0.7,1.33,0.63,0.526315789
"Narset, Enlightened Master ",1.31,2.49,1.18,0.526104418
Arboreal Grazer,0.34,0.65,0.31,0.523076923
Timberwatch Elf,0.34,0.65,0.31,0.523076923
Icon of Ancestry,1.04,1.99,0.95,0.522613065
Brave The Elements ,0.35,0.67,0.32,0.52238806
Tempt with Immortality ,0.35,0.67,0.32,0.52238806
Street Wraith,1.29,2.47,1.18,0.522267206
Siege Rhino ,1.22,2.34,1.12,0.521367521
Putrefax,0.37,0.71,0.34,0.521126761
Saheeli Rai ,2.39,4.61,2.22,0.518438178
Faithless Looting,0.59,1.14,0.55,0.51754386
Sphinx of The Final Word ,1.09,2.11,1.02,0.516587678
Fevered Visions ,0.47,0.91,0.44,0.516483516
"Ezuri, Renegade Leader",1.3,2.52,1.22,0.515873016
Repudiate // Replicate,0.35,0.68,0.33,0.514705882
Jarad's Orders ,0.56,1.09,0.53,0.513761468
Arcbound Ravager,11.2,21.86,10.66,0.512351327
Leyline of Combustion,0.48,0.94,0.46,0.510638298
Snow-Covered Swamp,0.58,1.14,0.56,0.50877193
Thoughtcast,0.33,0.65,0.32,0.507692308
Diviner's Wand,0.33,0.65,0.32,0.507692308
Split Decision ,0.33,0.65,0.32,0.507692308
Dismiss into Dream ,0.33,0.65,0.32,0.507692308
Scrapheap Scrounger ,0.36,0.71,0.35,0.507042254
Ichorid,0.75,1.48,0.73,0.506756757
Ash Barrens,0.6,1.19,0.59,0.504201681
Godless Shrine ,6.49,12.88,6.39,0.503881988
City of Shadows,9.97,19.82,9.85,0.503027245
Temple of Mystery,1,1.99,0.99,0.502512563
"Atarka, World Render",0.5,1,0.5,0.5
Dusk // Dawn,0.44,0.88,0.44,0.5
Golgari Signet,0.34,0.68,0.34,0.5
Thopter Foundry ,1.33,2.67,1.34,0.498127341
Vraska The Unseen,0.99,1.99,1,0.497487437
Sakura-Tribe Elder ,0.74,1.49,0.75,0.496644295
Wishclaw Talisman,0.62,1.25,0.63,0.496
Plea for Guidance ,0.52,1.05,0.53,0.495238095
Edgewalker,1.01,2.04,1.03,0.495098039
Leonin Warleader,0.94,1.9,0.96,0.494736842
Altered Ego ,0.47,0.95,0.48,0.494736842
Hooded Hydra,0.78,1.58,0.8,0.493670886
Aethersphere Harvester ,0.37,0.75,0.38,0.493333333
Gonti's Aether Heart ,0.35,0.71,0.36,0.492957746
Earthlink,0.35,0.71,0.36,0.492957746
Mind Spring,0.32,0.65,0.33,0.492307692
"Djeru, With Eyes Open",0.32,0.65,0.33,0.492307692
Herald of Secret Streams,0.94,1.91,0.97,0.492146597
Rogue's Passage ,0.51,1.04,0.53,0.490384615
Steel Hellkite,0.9,1.84,0.94,0.489130435
Field of Ruin,1.95,3.99,2.04,0.488721805
Lightning Skelemental,0.65,1.33,0.68,0.488721805
Angel's Grace,3.49,7.15,3.66,0.488111888
Ancient Ziggurat,5.1,10.46,5.36,0.487571702
Entreat the Angels,0.97,1.99,1.02,0.487437186
Fumigate ,0.89,1.83,0.94,0.486338798
Blood Moon,30.62,62.98,32.36,0.486186091
Primevals' Glorious Rebirth,0.35,0.72,0.37,0.486111111
Fathom Mage ,0.35,0.72,0.37,0.486111111
Brass's Bounty,0.33,0.68,0.35,0.485294118
"Okaun, Eye of Chaos",0.33,0.68,0.35,0.485294118
Dragonmaster Outcast,1.44,2.99,1.55,0.481605351
Rogue's Passage ,0.5,1.04,0.54,0.480769231
Collective Defiance ,0.36,0.75,0.39,0.48
Vorel of The Hull Clade,0.83,1.73,0.9,0.479768786
Thought Erasure ,1.16,2.43,1.27,0.477366255
Azor's Elocutors ,0.31,0.65,0.34,0.476923077
Bogardan Hellkite ,0.31,0.65,0.34,0.476923077
Goblin Welder,0.59,1.24,0.65,0.475806452
Massacre Girl,0.48,1.01,0.53,0.475247525
Sanguine Bond,1.42,2.99,1.57,0.474916388
Phyrexian Revoker,2.37,5,2.63,0.474
Temple of The False God,0.63,1.33,0.7,0.473684211
Villainous Wealth,0.88,1.86,0.98,0.47311828
Sevinne's Reclamation,2.4,5.08,2.68,0.472440945
Return of The Wildspeaker,0.49,1.04,0.55,0.471153846
Trading Post ,0.49,1.04,0.55,0.471153846
Connive // Concoct ,0.32,0.68,0.36,0.470588235
Vivien's Arkbow,0.32,0.68,0.36,0.470588235
Magus of The Wheel,0.7,1.49,0.79,0.469798658
Hour of Reckoning,0.46,0.98,0.52,0.469387755
Warkite Marauder,0.45,0.96,0.51,0.46875
Simic Signet,0.37,0.79,0.42,0.46835443
"Thrun, The Last Troll",2.99,6.39,3.4,0.467918623
Pyrostatic Pillar,0.36,0.77,0.41,0.467532468
Faerie Formation,0.95,2.04,1.09,0.465686275
FAE of Wishes,0.72,1.55,0.83,0.464516129
Animation Module ,0.78,1.68,0.9,0.464285714
Time Wipe,0.44,0.95,0.51,0.463157895
Irrigated Farmland,0.69,1.49,0.8,0.463087248
Worldspine Wurm ,6,12.96,6.96,0.462962963
"Trostani, Selesnya's Voice",0.92,1.99,1.07,0.462311558
"Iona, Shield of Emeria ",3.46,7.49,4.03,0.461949266
Thrull Parasite ,0.3,0.65,0.35,0.461538462
Abhorrent Overlord ,0.3,0.65,0.35,0.461538462
Impulse,0.3,0.65,0.35,0.461538462
"Tasigur, the Golden Fang ",0.46,1,0.54,0.46
Dictate of Karametra ,0.85,1.85,1,0.459459459
Temple of Silence,0.93,2.03,1.1,0.458128079
Coffin Queen,3.25,7.1,3.85,0.457746479
"Saheeli, Sublime Artificer",0.47,1.03,0.56,0.45631068
Fecundity ,0.43,0.95,0.52,0.452631579
Metalwork Colossus ,0.47,1.04,0.57,0.451923077
Rakdos Charm ,0.47,1.04,0.57,0.451923077
Profane Command,0.47,1.04,0.57,0.451923077
Rampant Growth,0.47,1.04,0.57,0.451923077
Hindering Light,0.47,1.04,0.57,0.451923077
Rattleclaw Mystic ,0.42,0.93,0.51,0.451612903
Breaking // Entering,0.32,0.71,0.39,0.450704225
Spectral Procession,0.59,1.31,0.72,0.450381679
Plaza of Harmony,0.45,1,0.55,0.45
"Chulane, Teller of Tales",3.7,8.24,4.54,0.449029126
Sigil of Distinction,0.48,1.07,0.59,0.448598131
Hero of Precinct One,0.46,1.03,0.57,0.446601942
Concealed Courtyard ,2.09,4.68,2.59,0.446581197
"Kiora, Behemoth Beckoner",0.29,0.65,0.36,0.446153846
Niveous Wisps,0.29,0.65,0.36,0.446153846
Swarm Intelligence,0.54,1.22,0.68,0.442622951
Profane Command,0.46,1.04,0.58,0.442307692
End-Raze Forerunners,0.3,0.68,0.38,0.441176471
Dust to Dust,0.3,0.68,0.38,0.441176471
Crackling Doom ,0.33,0.75,0.42,0.44
Deathrite Shaman ,2.99,6.81,3.82,0.439060206
Sorcerous Spyglass,0.36,0.82,0.46,0.43902439
Declaration in Stone ,1.95,4.46,2.51,0.437219731
Golgari Charm ,0.31,0.71,0.4,0.436619718
Myth Realized ,0.31,0.71,0.4,0.436619718
Reya Dawnbringer,1.3,2.98,1.68,0.436241611
Horned Sliver,3,6.91,3.91,0.434153401
Vona's Hunger,0.36,0.83,0.47,0.43373494
Emeria Shepherd ,0.97,2.24,1.27,0.433035714
Despotic Scepter,0.45,1.04,0.59,0.432692308
Kitesail Freebooter,0.41,0.95,0.54,0.431578947
Simic Charm ,0.66,1.53,0.87,0.431372549
Sangromancer,0.75,1.74,0.99,0.431034483
Rampaging Baloths,0.5,1.16,0.66,0.431034483
Dire Fleet Poisoner,0.56,1.3,0.74,0.430769231
Peregrine Drake,0.49,1.14,0.65,0.429824561
Polyraptor,6.74,15.7,8.96,0.429299363
Leyline of Abundance,1.05,2.45,1.4,0.428571429
Bygone Bishop ,0.32,0.75,0.43,0.426666667
Prowler's Helm ,0.29,0.68,0.39,0.426470588
Planar Guide,0.29,0.68,0.39,0.426470588
Grim Lavamancer,2.98,6.99,4.01,0.426323319
Searing Blaze,6.63,15.61,8.98,0.424727739
Siege-Gang Commander,0.67,1.58,0.91,0.424050633
Wild Ricochet ,0.44,1.04,0.6,0.423076923
Angel of Grace ,0.63,1.49,0.86,0.422818792
Treasure Cruise,0.3,0.71,0.41,0.422535211
Ur-Golem's Eye,0.3,0.71,0.41,0.422535211
"Izoni, Thousand-Eyed ",0.35,0.83,0.48,0.421686747
Knight of The Ebon Legion,4.15,9.87,5.72,0.420466059
Eldrazi Mimic ,0.81,1.93,1.12,0.419689119
Revival // Revenge,0.4,0.96,0.56,0.416666667
Ever After ,0.27,0.65,0.38,0.415384615
Angrath's Marauders,0.27,0.65,0.38,0.415384615
Flesh-Eater Imp,0.27,0.65,0.38,0.415384615
Dakmor Salvage,0.56,1.35,0.79,0.414814815
Glacial Chasm,1.89,4.56,2.67,0.414473684
Mistblade Shinobi,0.82,1.98,1.16,0.414141414
"Angrath, Minotaur Pirate",2.48,5.99,3.51,0.414023372
Shifting Borders,0.45,1.09,0.64,0.412844037
Carrion Feeder,0.39,0.95,0.56,0.410526316
Raven's Crime,0.7,1.71,1.01,0.409356725
Silent-Blade Oni ,0.79,1.93,1.14,0.409326425
Khorvath's Fury,0.56,1.37,0.81,0.408759124
Voltaic Key,1.25,3.06,1.81,0.408496732
Ashcoat Bear,0.85,2.09,1.24,0.406698565
Silhana Ledgewalker,0.4,0.99,0.59,0.404040404
"Josu Vess, Lich Knight",0.42,1.04,0.62,0.403846154
Soulherder,0.79,1.96,1.17,0.403061224
Unbreathing Horde,0.8,1.99,1.19,0.40201005
Ghostly Flicker ,0.49,1.22,0.73,0.401639344
Midnight Reaper ,1.6,3.99,2.39,0.401002506
Whelming Wave ,0.54,1.35,0.81,0.4
Blood Sun,0.5,1.25,0.75,0.4
"Neheb, Dreadhorde Champion",0.38,0.95,0.57,0.4
Aether Hub ,0.26,0.65,0.39,0.4
Oath of Jace ,0.26,0.65,0.39,0.4
Sin Prodder ,0.26,0.65,0.39,0.4
Clackbridge Troll,0.3,0.75,0.45,0.4
Cast Out,0.75,1.88,1.13,0.39893617
Searing Blood ,0.61,1.53,0.92,0.39869281
Kederekt Parasite,1.99,5,3.01,0.398
RAL Zarek ,1.19,2.99,1.8,0.397993311
Brion Stoutarm,0.37,0.93,0.56,0.397849462
Steel Wall,0.27,0.68,0.41,0.397058824
Clockspinning,0.27,0.68,0.41,0.397058824
Drown in The Loch,0.79,1.99,1.2,0.396984925
Stormfist Crusader,0.4,1.01,0.61,0.396039604
"Jace, Cunning Castaway",0.89,2.25,1.36,0.395555556
Hour of Promise,1.24,3.14,1.9,0.394904459
Cry of The Carnarium,0.28,0.71,0.43,0.394366197
Splinterfright,0.78,1.98,1.2,0.393939394
Murderous Redcap,0.39,0.99,0.6,0.393939394
Abhorrent Overlord ,0.39,0.99,0.6,0.393939394
Custodi Lich ,1.19,3.03,1.84,0.392739274
"Tibalt, The Fiend-Blooded ",1.17,2.99,1.82,0.391304348
"Lavinia, Azorius Renegade",0.34,0.87,0.53,0.390804598
Desolate Lighthouse,0.44,1.13,0.69,0.389380531
Tale's End,0.56,1.44,0.88,0.388888889
Jeskai Barricade ,0.33,0.85,0.52,0.388235294
Rewind ,0.38,0.98,0.6,0.387755102
Command Tower,0.96,2.49,1.53,0.385542169
Bane of Bala GED ,0.4,1.04,0.64,0.384615385
Harmless Offering ,0.25,0.65,0.4,0.384615385
Ayula's Influence,0.25,0.65,0.4,0.384615385
"Silumgar, The Drifting Death ",0.25,0.65,0.4,0.384615385
Bonesplitter,0.25,0.65,0.4,0.384615385
Clone,0.25,0.65,0.4,0.384615385
Baral's Expertise ,0.25,0.65,0.4,0.384615385
Goblin Dark-Dwellers ,0.25,0.65,0.4,0.384615385
Setessan Tactics ,0.25,0.65,0.4,0.384615385
Mishra's Factory ,0.25,0.65,0.4,0.384615385
Faerie Trickery,0.25,0.65,0.4,0.384615385
Magmatic Insight ,0.25,0.65,0.4,0.384615385
Falkenrath Noble,0.25,0.65,0.4,0.384615385
Thallid Shell-Dweller,0.25,0.65,0.4,0.384615385
Dead of Winter,0.48,1.25,0.77,0.384
War's Toll,1.24,3.24,2,0.382716049
Tin Street Dodger,0.26,0.68,0.42,0.382352941
Seafloor Oracle,0.26,0.68,0.42,0.382352941
Orzhov Signet ,0.5,1.31,0.81,0.381679389
Mystical Tutor,9.97,26.23,16.26,0.380099123
Sire of Insanity,0.3,0.79,0.49,0.379746835
Desecration Demon ,0.75,1.98,1.23,0.378787879
Rishadan Port,10.21,26.99,16.78,0.378288255
Overseer of The Damned,0.49,1.3,0.81,0.376923077
Warping Wail ,0.35,0.93,0.58,0.376344086
Spiteful Sliver,0.47,1.25,0.78,0.376
Dismember,1.48,3.94,2.46,0.375634518
Siegehorn Ceratops,0.39,1.04,0.65,0.375
"Gonti, Lord of Luxury ",0.49,1.31,0.82,0.374045802
Obscuring Aether ,0.28,0.75,0.47,0.373333333
Circuitous Route ,0.5,1.34,0.84,0.373134328
Jungle Lion,0.29,0.78,0.49,0.371794872
Wellwisher,0.76,2.05,1.29,0.370731707
Choking Sands,0.57,1.54,0.97,0.37012987
Cloudshift ,0.24,0.65,0.41,0.369230769
Fleshbag Marauder,0.24,0.65,0.41,0.369230769
Aqueous Form ,0.24,0.65,0.41,0.369230769
Tragic Slip ,0.24,0.65,0.41,0.369230769
Battle Sliver ,0.24,0.65,0.41,0.369230769
Manglehorn,0.24,0.65,0.41,0.369230769
Growth Spiral,0.28,0.76,0.48,0.368421053
Sungrass Prairie,0.39,1.06,0.67,0.367924528
Goblin Instigator,0.32,0.87,0.55,0.367816092
Grand Warlord Radha,0.25,0.68,0.43,0.367647059
Living Twister,0.25,0.68,0.43,0.367647059
The Antiquities War,0.25,0.68,0.43,0.367647059
Theater of Horrors,0.25,0.68,0.43,0.367647059
Miscalculation,0.25,0.68,0.43,0.367647059
Void Shatter ,0.25,0.68,0.43,0.367647059
Stormchaser Mage ,0.25,0.68,0.43,0.367647059
Pestilence,0.25,0.68,0.43,0.367647059
Skinshifter,0.25,0.68,0.43,0.367647059
Meltdown,0.25,0.68,0.43,0.367647059
Perimeter Captain,0.68,1.85,1.17,0.367567568
Sigil of The Empty Throne,0.41,1.14,0.73,0.359649123
"Rishkar, Peema Renegade ",0.47,1.31,0.84,0.358778626
General Jarkeld,0.48,1.34,0.86,0.358208955
Reef Worm ,1.44,4.03,2.59,0.357320099
Reclamation Sage,0.25,0.7,0.45,0.357142857
Sphinx of Foresight,0.39,1.1,0.71,0.354545455
Dwynen's Elite ,0.28,0.79,0.51,0.35443038
Angel of Glory's Rise ,0.23,0.65,0.42,0.353846154
Titan's Presence ,0.23,0.65,0.42,0.353846154
Abzan Charm,0.23,0.65,0.42,0.353846154
Rogue Refiner ,0.23,0.65,0.42,0.353846154
Striking Sliver,0.23,0.65,0.42,0.353846154
Graveyard Marshal,0.23,0.65,0.42,0.353846154
Release to the Wind,0.23,0.65,0.42,0.353846154
Manakin,0.23,0.65,0.42,0.353846154
Jungle Shrine,0.23,0.65,0.42,0.353846154
Dragonlord Atarka ,3.99,11.28,7.29,0.353723404
Journey to Nowhere,0.35,0.99,0.64,0.353535354
"Jori En, Ruin Diver ",0.24,0.68,0.44,0.352941176
Emerge Unscathed,0.24,0.68,0.44,0.352941176
Dream Stalker,0.24,0.68,0.44,0.352941176
Whirlpool Rider,0.24,0.68,0.44,0.352941176
Shefet Dunes,0.24,0.68,0.44,0.352941176
Smothering Abomination ,0.25,0.71,0.46,0.352112676
Search for Tomorrow,0.25,0.71,0.46,0.352112676
Elvish Mystic,0.25,0.71,0.46,0.352112676
Lavinia of The Tenth,0.25,0.71,0.46,0.352112676
"Gwafa Hazid, Profiteer ",0.26,0.74,0.48,0.351351351
Immortal Servitude ,0.42,1.2,0.78,0.35
Neoform,0.23,0.66,0.43,0.348484848
Clackbridge Troll,0.54,1.55,1.01,0.348387097
Opaline Sliver,1.89,5.45,3.56,0.346788991
Grimoire of The Dead,0.69,1.99,1.3,0.346733668
Font of Agonies ,0.26,0.75,0.49,0.346666667
Hover Barrier ,0.36,1.04,0.68,0.346153846
Wolf-Skull Shaman,0.27,0.78,0.51,0.346153846
Tolarian Winds,0.23,0.67,0.44,0.343283582
Winding Constrictor ,0.37,1.08,0.71,0.342592593
Silverclad Ferocidons,0.5,1.46,0.96,0.342465753
Orzhov Signet,0.51,1.49,0.98,0.342281879
Pyretic Ritual,0.59,1.73,1.14,0.341040462
Elemental Bond ,0.52,1.53,1.01,0.339869281
Shepherd of Rot,0.4,1.18,0.78,0.338983051
Skilled Animator,0.22,0.65,0.43,0.338461538
Strategic Planning,0.22,0.65,0.43,0.338461538
Soul Conduit,0.22,0.65,0.43,0.338461538
Biovisionary ,0.22,0.65,0.43,0.338461538
Nettle Sentinel,0.22,0.65,0.43,0.338461538
Perpetual Timepiece ,0.22,0.65,0.43,0.338461538
Vance's Blasting Cannons,0.22,0.65,0.43,0.338461538
Faceless Butcher,0.22,0.65,0.43,0.338461538
Signal The Clans ,0.22,0.65,0.43,0.338461538
Arcbound Worker,0.23,0.68,0.45,0.338235294
Manakin,0.23,0.68,0.45,0.338235294
Withered Wretch,0.23,0.68,0.45,0.338235294
"Kari Zev, Skyship Raider ",0.24,0.71,0.47,0.338028169
Cast Out,0.24,0.71,0.47,0.338028169
Hypnotic Siren ,0.24,0.71,0.47,0.338028169
Vryn Wingmare ,0.24,0.71,0.47,0.338028169
Mirrodin's Core ,0.24,0.71,0.47,0.338028169
Champion of Rhonas,0.28,0.83,0.55,0.337349398
"Tolsimir, Friend to Wolves",0.31,0.92,0.61,0.336956522
Into The North,0.54,1.61,1.07,0.335403727
Boros Garrison ,0.23,0.69,0.46,0.333333333
Wall of Blossoms,0.45,1.35,0.9,0.333333333
Wall of Blossoms ,0.37,1.12,0.75,0.330357143
Temple Altisaur,0.33,1,0.67,0.33
Whirlpool Drake,0.32,0.97,0.65,0.329896907
Temple of Malady,0.82,2.49,1.67,0.329317269
"Kolaghan, The Storm's Fury ",0.27,0.82,0.55,0.329268293
Groundswell ,0.61,1.86,1.25,0.327956989
Gruul Signet,0.42,1.29,0.87,0.325581395
Psychotic Fury,0.52,1.6,1.08,0.325
"Mavren Fein, Dusk Apostle",0.49,1.51,1.02,0.324503311
Cranial Plating,0.36,1.11,0.75,0.324324324
Pyromancer Ascension,0.23,0.71,0.48,0.323943662
Wingmate ROC ,0.23,0.71,0.48,0.323943662
Nikya of The Old Ways,0.22,0.68,0.46,0.323529412
Viridian Joiner,0.22,0.68,0.46,0.323529412
Prismatic Lens,0.22,0.68,0.46,0.323529412
Kamahl's Druidic Vow,0.22,0.68,0.46,0.323529412
Nighthowler,0.21,0.65,0.44,0.323076923
Servant of The Conduit ,0.21,0.65,0.44,0.323076923
Metallic Rebuke ,0.21,0.65,0.44,0.323076923
Favorable Winds ,0.21,0.65,0.44,0.323076923
Soldier of The Pantheon ,0.21,0.65,0.44,0.323076923
Grim Affliction ,0.21,0.65,0.44,0.323076923
Retreat to Coralhelm ,0.21,0.65,0.44,0.323076923
Executioner's Capsule,0.21,0.65,0.44,0.323076923
Cliffhaven Vampire ,0.42,1.31,0.89,0.320610687
Renegade Doppelganger,0.25,0.78,0.53,0.320512821
Volcanic Vision ,0.24,0.75,0.51,0.32
Souls of The Faultless,0.45,1.41,0.96,0.319148936
"Varolz, The Scar-Striped",0.36,1.14,0.78,0.315789474
Sharuum The Hegemon ,0.44,1.4,0.96,0.314285714
Jund Charm,0.21,0.67,0.46,0.313432836
Mystic Sanctuary,0.39,1.25,0.86,0.312
Vengeful Dead,0.34,1.09,0.75,0.311926606
AEtherling,0.24,0.77,0.53,0.311688312
Dreadhorde Invasion,0.41,1.32,0.91,0.310606061
Skirsdag High Priest,0.36,1.16,0.8,0.310344828
Terramorphic Expanse,0.22,0.71,0.49,0.309859155
Volcanic Fallout,0.22,0.71,0.49,0.309859155
Reach of Branches,0.22,0.71,0.49,0.309859155
Abundant Growth ,0.22,0.71,0.49,0.309859155
Diabolic Tutor ,0.64,2.07,1.43,0.309178744
Vampiric Rites ,0.21,0.68,0.47,0.308823529
"Kumano, Master Yamabushi",0.21,0.68,0.47,0.308823529
Ring of Kalonia ,0.32,1.04,0.72,0.307692308
Flame Slash ,0.2,0.65,0.45,0.307692308
Harrow,0.2,0.65,0.45,0.307692308
Gates Ablaze,0.2,0.65,0.45,0.307692308
Crib Swap,0.2,0.65,0.45,0.307692308
Planar Cleansing,0.2,0.65,0.45,0.307692308
Oath of Liliana ,0.2,0.65,0.45,0.307692308
Agent of Erebos ,0.2,0.65,0.45,0.307692308
"Kasmina, Enigmatic Mentor",0.2,0.65,0.45,0.307692308
Quilled Sliver,0.2,0.65,0.45,0.307692308
Slaughter Games ,0.2,0.65,0.45,0.307692308
Weirding Wood ,0.2,0.65,0.45,0.307692308
"Melek, Izzet Paragon",0.48,1.56,1.08,0.307692308
Collective Effort ,0.23,0.75,0.52,0.306666667
Faithless Looting ,0.38,1.24,0.86,0.306451613
Lightning Bolt ,1,3.28,2.28,0.304878049
Feasting Troll King,0.25,0.82,0.57,0.304878049
Champion of The Parish,0.84,2.76,1.92,0.304347826
Krosan Restorer,0.28,0.92,0.64,0.304347826
Orzhov Basilica,0.24,0.79,0.55,0.303797468
Oath of Gideon ,0.33,1.09,0.76,0.302752294
"Sorin, Lord of Innistrad",3.16,10.44,7.28,0.302681992
Glint-Horn Buccaneer,0.26,0.86,0.6,0.302325581
Genesis,0.31,1.03,0.72,0.300970874
Dictate of The Twin Gods ,0.33,1.1,0.77,0.3
Shaman of The Pack ,0.24,0.8,0.56,0.3
Paradise Druid,0.34,1.14,0.8,0.298245614
Tyrant's Scorn,0.25,0.84,0.59,0.297619048
"Storrev, Devkarin Lich",0.22,0.74,0.52,0.297297297
Genesis Hydra ,0.74,2.49,1.75,0.297188755
Pestilent Spirit,0.3,1.01,0.71,0.297029703
Kaya's Guile,0.59,1.99,1.4,0.296482412
Felidar Guardian ,0.56,1.89,1.33,0.296296296
Biomancer's Familiar,0.32,1.08,0.76,0.296296296
Bellowing Tanglewurm,0.21,0.71,0.5,0.295774648
Heroes' Podium ,0.21,0.71,0.5,0.295774648
Glaring Spotlight ,1.55,5.25,3.7,0.295238095
Fate Unraveler ,0.46,1.56,1.1,0.294871795
Gleancrawler,0.23,0.78,0.55,0.294871795
Otherworld Atlas ,0.33,1.12,0.79,0.294642857
Thran Temporal Gateway,0.43,1.46,1.03,0.294520548
Pontiff of Blight ,0.3,1.02,0.72,0.294117647
Ruins of Oran-Rief ,0.2,0.68,0.48,0.294117647
Mage-Ring Network ,0.2,0.68,0.48,0.294117647
Brainspoil,0.2,0.68,0.48,0.294117647
Vizier of Many Faces,0.2,0.68,0.48,0.294117647
Response // Resurgence ,0.2,0.68,0.48,0.294117647
Hall of Triumph ,0.2,0.68,0.48,0.294117647
Dauntless Bodyguard,0.2,0.68,0.48,0.294117647
Barbarian Ring,0.22,0.75,0.53,0.293333333
"Jiang Yanggu, Wildcrafter",0.19,0.65,0.46,0.292307692
Parhelion II,0.19,0.65,0.46,0.292307692
Sign in Blood,0.19,0.65,0.46,0.292307692
Illusionist's Stratagem ,0.19,0.65,0.46,0.292307692
Grove of The Guardian ,0.19,0.65,0.46,0.292307692
Cautery Sliver,0.19,0.65,0.46,0.292307692
Marionette Master ,0.19,0.65,0.46,0.292307692
Silumgar's Scorn ,0.19,0.65,0.46,0.292307692
Curse of Echoes ,0.19,0.65,0.46,0.292307692
Bala GED Thief ,0.19,0.65,0.46,0.292307692
Citadel Siege ,0.19,0.65,0.46,0.292307692
Together Forever,0.23,0.79,0.56,0.291139241
Followed Footsteps ,0.94,3.24,2.3,0.290123457
from Beyond ,0.38,1.31,0.93,0.290076336
"Etrata, The Silencer",0.35,1.21,0.86,0.289256198
Gaea's Touch,0.75,2.6,1.85,0.288461538
Traverse The Ulvenwald ,1.98,6.87,4.89,0.288209607
Mist-Syndicate Naga,0.29,1.01,0.72,0.287128713
Forked Bolt ,0.29,1.01,0.72,0.287128713
Perplexing Chimera ,0.47,1.64,1.17,0.286585366
Ravager Wurm,0.41,1.44,1.03,0.284722222
Furnace of Rath,1.49,5.24,3.75,0.284351145
Sea Gate Loremaster ,0.27,0.95,0.68,0.284210526
Darksteel Juggernaut,0.46,1.62,1.16,0.283950617
Shrine of The Forsaken Gods ,0.44,1.56,1.12,0.282051282
Grafted Skullcap,0.2,0.71,0.51,0.281690141
Blustersquall ,0.2,0.71,0.51,0.281690141
Memory Crystal,0.2,0.71,0.51,0.281690141
Seal of Primordium,0.2,0.71,0.51,0.281690141
Oblivion Ring ,0.2,0.71,0.51,0.281690141
Deep Forest Hermit,0.27,0.96,0.69,0.28125
Etchings of The Chosen,0.25,0.89,0.64,0.280898876
"Zndrsplt, Eye of Wisdom",0.23,0.82,0.59,0.280487805
"Judith, The Scourge Diva",0.35,1.25,0.9,0.28
Prism Ring ,0.19,0.68,0.49,0.279411765
Acidic Slime,0.19,0.68,0.49,0.279411765
Spell Syphon,0.19,0.68,0.49,0.279411765
Day of Destiny,3.32,11.95,8.63,0.277824268
Call The Gatewatch ,0.28,1.01,0.73,0.277227723
Arbor Elf ,0.18,0.65,0.47,0.276923077
"Kemba, KHA Regent",0.18,0.65,0.47,0.276923077
Blur Sliver ,0.18,0.65,0.47,0.276923077
Displace ,0.18,0.65,0.47,0.276923077
Portent,0.18,0.65,0.47,0.276923077
Blinkmoth Well,0.18,0.65,0.47,0.276923077
Dusk Legion Zealot,0.18,0.65,0.47,0.276923077
Hieroglyphic Illumination,0.18,0.65,0.47,0.276923077
Pristine Talisman ,0.18,0.65,0.47,0.276923077
"Tetsuko Umezawa, Fugitive",0.39,1.41,1.02,0.276595745
Wistful Selkie ,0.24,0.87,0.63,0.275862069
"Atarka, World Render ",0.43,1.56,1.13,0.275641026
Sylvia Brightspear,0.4,1.46,1.06,0.273972603
Helm of the Gods ,1.21,4.44,3.23,0.272522523
Vampire Hexmage ,0.49,1.8,1.31,0.272222222
Essence Capture,0.23,0.85,0.62,0.270588235
Predatory Sliver,0.27,1,0.73,0.27
Arcum's Astrolabe,0.24,0.89,0.65,0.269662921
Sandsteppe Citadel ,0.56,2.08,1.52,0.269230769
Nest Invader,0.21,0.78,0.57,0.269230769
Phyrexian Ingester,0.25,0.93,0.68,0.268817204
Scrapyard Recombiner,0.25,0.93,0.68,0.268817204
Force of Virtue,0.26,0.97,0.71,0.268041237
Barren Moor,0.19,0.71,0.52,0.267605634
Deathgorge Scavenger,0.27,1.01,0.74,0.267326733
Dragon Throne of Tarkir ,0.2,0.75,0.55,0.266666667
Territorial Allosaurus,0.2,0.75,0.55,0.266666667
Aethersnatch ,0.5,1.88,1.38,0.265957447
Hedron Crawler ,0.18,0.68,0.5,0.264705882
Guildmages' Forum ,0.18,0.68,0.5,0.264705882
Conquering Manticore,0.18,0.68,0.5,0.264705882
Dread Slaver ,0.18,0.68,0.5,0.264705882
