Name,TCG,Amazon,Spread,% Spread
Recruiter of The Guard ,21.93,22.19,0.26,0.98828301
Throne of the God-Pharaoh,2.28,2.31,0.03,0.987012987
Naya Panorama,0.74,0.75,0.01,0.986666667
Faerie Artisans ,8.5,8.65,0.15,0.98265896
Explosive Vegetation ,2.26,2.3,0.04,0.982608696
Solemn Simulacrum ,5.03,5.12,0.09,0.982421875
Tezzeret The Seeker,13.17,13.42,0.25,0.981371088
Frantic Search,1.02,1.04,0.02,0.980769231
"Chandra, Acolyte of Flame",5.63,5.76,0.13,0.977430556
Shivan Reef ,5.95,6.09,0.14,0.977011494
Overgrown Tomb ,12.9,13.28,0.38,0.971385542
Prized Amalgam ,4.87,5.02,0.15,0.970119522
Flooded Grove,6.37,6.6,0.23,0.965151515
Talisman of Hierarchy,4.1,4.25,0.15,0.964705882
Desertion ,2.99,3.1,0.11,0.964516129
Clifftop Retreat,5.12,5.33,0.21,0.960600375
Sage of Fables,1.81,1.89,0.08,0.957671958
Hexdrinker,7.12,7.44,0.32,0.956989247
Force of Will ,109.99,115.47,5.48,0.952541786
Peacekeeper,2.99,3.14,0.15,0.952229299
Homeward Path ,6.88,7.24,0.36,0.950276243
Wasteland ,26.99,28.41,1.42,0.950017599
Thran Dynamo,4.94,5.2,0.26,0.95
Flameshadow Conjuring ,4.97,5.25,0.28,0.946666667
"Rankle, Master of Pranks",8.97,9.48,0.51,0.946202532
Cavern of Souls,57,60.34,3.34,0.944647
Tolaria West ,9.36,9.95,0.59,0.940703518
"Chandra, Torch of Defiance ",22.39,23.82,1.43,0.939966415
"Teferi, Time Raveler",19.99,21.27,1.28,0.939821345
Canopy Vista ,4.03,4.31,0.28,0.935034803
Leyline of Anticipation,4.44,4.75,0.31,0.934736842
Craterhoof Behemoth,39.59,42.44,2.85,0.932846371
Nevinyrral's Disk,2.59,2.78,0.19,0.931654676
Summoner's Pact ,13.75,14.77,1.02,0.930941097
"Silas Renn, Seeker Adept ",5.61,6.04,0.43,0.928807947
Omniscience ,8.86,9.59,0.73,0.923879041
Game Trail ,7,7.58,0.58,0.92348285
Bedlam Reveler ,2.17,2.35,0.18,0.923404255
Stifle ,3.92,4.25,0.33,0.922352941
Prime Speaker Zegana ,3.68,3.99,0.31,0.922305764
Torrential Gearhulk ,7.33,7.95,0.62,0.922012579
Rekindling Phoenix,9.92,10.76,0.84,0.921933086
Gemhide Sliver,5.49,5.99,0.5,0.916527546
Cascading Cataracts,2.83,3.11,0.28,0.909967846
Sphere of The Suns ,0.59,0.65,0.06,0.907692308
Dig Through Time ,4.82,5.32,0.5,0.906015038
Snapcaster Mage,42.69,47.18,4.49,0.904832556
Hope of Ghirapur,2.65,2.93,0.28,0.90443686
Fiery Islet,7.46,8.25,0.79,0.904242424
Cascade Bluffs,7.73,8.55,0.82,0.904093567
Stranglehold,11.15,12.34,1.19,0.90356564
"Elenda, the Dusk Rose",8.15,9.02,0.87,0.903547672
Stitcher's Supplier,3.79,4.2,0.41,0.902380952
Force of Negation,28.75,31.92,3.17,0.900689223
Commander's Sphere,1.89,2.1,0.21,0.9
Soulfire Grand Master ,3.77,4.19,0.42,0.899761337
Sylvan Scrying ,0.98,1.09,0.11,0.899082569
Blood Moon,12,13.35,1.35,0.898876404
Nim Deathmantle,6.56,7.3,0.74,0.898630137
Viscera Seer,2.56,2.86,0.3,0.895104895
"Gisela, Blade of Goldnight ",7.25,8.1,0.85,0.895061728
Enlightened Tutor ,30.48,34.22,3.74,0.890707189
Lightning Greaves ,6.97,7.83,0.86,0.890166028
Balduvian Rage,2.57,2.9,0.33,0.886206897
Waterlogged Grove,6.59,7.44,0.85,0.885752688
"Pir, Imaginative Rascal",4.15,4.7,0.55,0.882978723
Sword of Truth and Justice,9.39,10.65,1.26,0.881690141
Polluted Delta ,21,23.86,2.86,0.880134116
God-Eternal Bontu,2.63,2.99,0.36,0.879598662
Winds of Abandon,1.75,1.99,0.24,0.879396985
Siren Stormtamer,2.18,2.49,0.31,0.875502008
Sidar Kondo of Jamuraa ,5.37,6.15,0.78,0.873170732
Muscle Sliver,1.65,1.89,0.24,0.873015873
Sapphire Medallion,15.3,17.54,2.24,0.872291904
Wrenn and Six,45.58,52.35,6.77,0.870678128
Sapphire Medallion,14.1,16.23,2.13,0.868761553
Vines of Vastwood ,0.99,1.14,0.15,0.868421053
